name,fact,issue,decision,reason,year,description
BRINKIBON,"B (based in London) wished to purchase machinery from S (based in Vienna). During the course of negotiations, a number of telexes were exchanged between the parties. One such telex (sent from B to S) constituted an acceptance of an offer from S. A dispute arose between the parties and it was necessary to determine whether the English or Austrian courts had jurisdiction to hear the claim",Where was the contract formed? In which country did acceptance take place?. Should the postal acceptance be extended to acceptance by telex?,"The postal acceptance rule should not be extended. The acceptance took place where the telex was received (that is, in Austria)",Telexes should be treated in the same way as instantaneous communications,1983,ACCEPTANCE BY FAX
THOMAS V THOMAS,"Mr T expressed a desire that, should he die first, his wife be allowed to stay in their family home until her death. After Mr T died, the executors of his estate entered into a lease agreement with Mrs T.  Mrs T promised to pay only £1 a year for the lease and to keep the house in good repair",Had Mrs T provided sufficient consideration to make the agreement between the executors and Mrs T binding?,Mrs T had provided consideration.  She was entitled to enforce the agreement.,"Although Mrs T’s promise was not in any sense equivalent in value to the benefit she received, she nevertheless provided sufficient consideration – it is enough that the promise is of some value, no matter how small.",1842,THE MAGNITUDE OF THE BENEFIT PROVIDED IS NOT RELEVANT
STILK V MYRICK,"When two sailors deserted a voyage, the captain of the ship promised the remaining crew that they would share the deserters’ pay if they worked extra hard to get the ship safely back home. The employment contracts between the captain and the sailors required the sailors to do all that was necessary in times of emergency.  Desertion by crew was such an emergency.",Had the crew given consideration for the captain’s promise of additional pay?,The crew had merely performed an existing legal duty – they had given nothing of value in exchange for the captain’s promise.,"Under their contracts of employment, the crew were obliged to do whatever was necessary in case of any emergencies (which included desertion of crew members). So, they were already bound to get the ship safely back home",1809,EXISTING LEGAL DUTY RULE
MUSUMECI V WINADELL PTY LTD,"M leased a fruit and vegetable shop from W. at a later point in time, W leased a shop in the mall to a chain fruit and vegetable store. M’s business decreased and W agreed to reduce the rent. Later, when M decided not to renew the lease, W resiled from the promise to reduce the rent and claimed the full amount from M",Had M provided sufficient consideration to support W’s promise to accept less rent? ,"M promised to do no more than perform its existing contractual duties (in fact it agreed to pay less rent than the lease provided for). However, M nevertheless provided consideration because of the practical benefit associated with keeping M as a tenant (W was struggling to lease stores in the mall)",,1994,EXCEPTION TO THE PAST CONSIDERATION AND EXISTING LEGAL DUTY RULE
ERMOGENOUS V GREEK ORTHODOX COMMUNITY OF SA,"E was ‘recruited’ by the GOCoSA from the US to serve as the archbishop of the Greek Orthodox Church in Australia. the GOCoSA paid E what appeared to be a salary. after E resigned, he claimed to be entitled to various leave entitlements (said to be owed to him as an employee). GOCoSA resisted making the payments. in order to establish that he was entitled to the leave payments, E needed to establish that he was employed under a contract of employment. ",Did the parties intend their agreement to be enforceable as a contract?,The agreement was intended to be legally binding.  E was entitled to the leave payments,"Whether parties intended their agreement to be binding should be determined by considering: the subject-matter of the agreement, the nature of the relationship between the parties, other surrounding circumstances",2002,MODERN APPROACH TO DETERMINING INTENTION
ESSO PETROLEUM V COMMISSIONER OF CUSTOMS & EXCISE,"E ran a marketing promotion.  It promised to give customers a ‘free’ coin with every gallon of Esso petrol purchased. CCE argued that despite the fact that the coins were described as a ‘gift’ (a transaction that typically would not involve an intention to create contractual relations), E intended contractual relations with its customers.  If this was the case, then the production of the coins would be subject to taxation",Did Esso and its customers intend the agreement to be contractually binding?,The terms of the promotion were intended to be contractually binding. The coins were therefore subject to taxation.,"Intention inferred from the commercial nature of the agreement. Now, post-Ermogenous, the focus would be on the nature of the agreement, the relationship between the parties and other relevant surrounding circumstances.",1976,INTENTION: COMMERCIAL OR BUSINESS AGREEMENTS
CARLILL V CARBOLIC SMOKE BALL CO,,Was the promise to pay the reward contained in the advertisement an offer?  Did it demonstrate an intention to be contractually bound?. Had Carlill accepted the offer?. Had Carlill provided consideration in exchange for the promise to pay the reward?. Were the terms sufficiently certain?,yes. Yes. Yes. Yes,"the advertisement was unlike the one in Partridge v Crittenden. It contained a firm promise.  Further, the statement about money being deposited in the bank demonstrated an intention to be bound. Carlill accepted the offer by performing an act, She used the ball, in accordance with the CSBC’s instructions. CBSC’s promise is stated in clear, quantifiable terms. The method by which Carlill accepts the offer and provides the consideration (by using the ball as instructed) was also stated in clear terms",1893,
PRICE V EASTON,"A builder owed money to P, which the builder was unable to pay. E and the builder agreed that: the builder would do some work for E, E would discharge the builder’s debt to P. When E did not discharge the builder’s debt, P sued E. ",Was P entitled to enforce E’s promise to the builder?,P was not entitled to enforce the promise,P was not a party to the contract (which was held to be between the builder and E). The doctrine of privity meant that P did not obtain enforceable rights under the contract.,1833,PRIVITY
COULLS V BAGOT’S EXECUTOR,"Mr C entered into a contract with O’N: Mr C promised to allow O’N to dig up and remove stone from Mr C’s property, O’N promised to pay royalties which the contract authorised O’N to pay to Mr and Mrs Coulls (while both were alive) and then to the survivor. The contract was titled ‘Agreement between Arthur Coulls and O’Neil Constructions’. The contract was signed by both Mr and Mrs C, as well as by a representative of O’Neil",Did Mrs C have a legally enforceable right to the payment of royalties?,Mrs C had not obtained enforceable rights under the contract. The royalties should be made to Mr C’s estate,"Mrs C’s signature might suggest that she was a party to the contract. However, the court was more influenced by the fact that contract’s title did not mention Mrs C.",1967,PRIVITY
L’ESTRANGE V F GRAUCOB,"L purchased a cigarette machine from F. L signed a form headed ‘Sales Agreement’. this form included the printed terms of sale, including the following clause:The agreement contains all the terms and conditions under which I agree to purchase the machine specified above and any express or implied condition, statement or warranty, statutory or otherwise not stated herein is hereby excluded. when the machine was delivered it did not work properly. L brought an action for damages of an implied warranty that the machine was reasonably fit for the purpose. F argued that, pursuant to the clause outlined above, F could not rely on the implied warranty in question",Was L bound by the term that excluded implied warranties?,L was bound by the terms of the document she signed,L signed the document. A reasonable person would have understood the document contained contractual terms (the form has headed ‘Sales Agreement’). F made no statement that amounted to fraud or a misrepresentation,1934,SIGNED DOCUMENTS
CAUSER V BROWNE,C took a dress to B for dry cleaning. He was handed a ‘docket’ that contained a disclaimer clause which purported to exclude liability for loss or damage to articles . He signed the docket without reading it. ,Did the statement on the docket excludes B’s liability?,The statement was not a term of the contract,"Applying the L’Estrange v Graucob ratio: The reasonable person would not have understood the “docket” to be a document that would contain contractual terms. The reasonable person would believe the “docket” to be a non-contractual document, which needs to be presented in order to collect garments",1952,NATURE OF DOCUMENT SIGNED
SYDNEY CORPORATION V WEST,"W drove into a carpark and took a ticket handed to him by an attendant as he entered the carpark (not from a machine as stated in FPBL). The ticket contained the following statement:The council does not accept responsibility for the loss or damage to any vehicle ... however such loss, damage or injury may arise or be caused. W’s car was stolen as a result of SC’s employee’s negligence. W sued to recover damages",Did the statement on the ticket become a term of the contract between W and SC?,The statement on the ticket was a term of the contract,"Timing requirement, Offer: issue of the ticket, Acceptance: parking the car instead of leaving the car park. Knowledge/notice requirement: W had been given reasonable notice of the terms before the contract was formed, It is common knowledge that terms are contained on such tickets, Note influence of the objective approach",1965,INCORPORATION BY NOTICE
OLLEY V MARLBOROUGH COURT LTD,"When Mr and Mrs O arrived at the Marlborough Court hotel, they paid for their room and signed the room-hire contract. On the wall of their room was a notice which stated that the proprietors were not responsible for lost or stolen items. A housekeeper left Mr and Mrs O’s room unlocked and a thief entered the room and stole Mrs O’s fur coats. ",Was the statements in the notice terms of the contract?,The statement in the notice was not a term of the contract,"Knowledge/notice requirement (requirement met): Once in their room, Mr and Mrs O read the sign, and thus had actual knowledge of the statement, The display of the sign also amounted to reasonable notice. Timing requirement (requirement not met): Mr and Mrs O needed to have actual knowledge of the term, or be given reasonable notice of the term, prior to the formation of the contract, The contract was formed when Mr and Mrs O checked in",1949,
VAN DEN ESSCHERT V CHAPPELL ,"Before V purchased C’s house, C made an oral promise that the house was free from infestation by white ants. The written contract between the parties contained no such promise/warranty. V sued C for breach of the promise",Was the oral promise part of the contract?,"Contract was partly-written, partly-oral",because of the importance of the oral promise,1960,"PARTLY-WRITTEN, PARTLY-ORAL CONTRACTS"
OSCAR CHESS LTD V WILLIAMS,"W offered to trade in his mother’s car to a car dealer (OC). W described the car as a 1948 car as this was the date shown in the car’s registration book (which had been fraudulently altered by the previous owner unbeknown to W or his mother). on this basis, the car dealer paid Williams £290 for the car. it turned out that the car was a 1939 model and, therefore, only worth £175. The car dealer claimed damages of the difference in value (£115)",Was W’s statement that the car was a 1948 model a promise or a representation?,"The description of the car was a (mis)representation, not a contractual promise",The seller had no special knowledge or expertise in cars – in such circumstances it was not possible to infer that a promise was intended by the seller. Morris LJ dissented.  His Lordship was influenced by the importance of the term.  This approach has not found favour in subsequent cases.,1957,EXAMPLE OF A REPRESENTATION
HANDBURY V NOLAN,"an auctioneer offered a cow for sale at auction. before the sale, the auctioneer stated that a pregnancy test had been conducted and that the result was ‘positive’. the cow was not in fact pregnant and proved to be infertile. the buyer sued, arguing that the seller had contractually promised that the cow was pregnant. ",was the auctioneer’s statement a contractual promise?,"The auctioneer’s statement was promissory, and thus an express term of the contract","language used: the statement is expressed as a statement of fact (the cow is pregnant, not I promise the cow is pregnant). circumstances: the statement was made at a breeders’ sale, just before the sale, by a party with knowledge of the cow. ",1977,EXAMPLE OF CONTRACTUAL PROMISE
SECURED INCOME V ST MARTINS,"SI sold a large office block to SM. $170,000 remained owing after settlement. the contract provided for the reduction of this amount if aggregate rents did not reached a specified figure. the aggregate rents were far below the specified figure. as a result, SI offered to lease so much of the vacant premises as would increase the aggregate rent to a level that the $170,000 would be payable. SM rejected this offer and, as a result, the amount owing to SI was reduced to zero pursuant to the terms of the contract. SI sued for damages for breach of an implied term that SM would actively co-operate in efforts to secure tenants.  SI alleged this term had been breached by SM’s rejection of SI as a tenant",Had SM breached the implied duty of co-operation by refusing to accept SI as a tenant?,St M had not breached the implied duty of co-operation,A party that has legitimate concerns about the financial strength of a prospective tenant does not act unreasonably in rejecting the rental application – there has been no failure to co-operate,1979,THE UNIVERSAL DUTY OF CO-OPERATION
BREEN V WILLIAMS,W was B’s doctor. B asked W to hand over her medical records. W refused to hand over the medical records unless B indemnified him against potential liability. B argued that the refusal to hand over the medical records (without insisting upon the indemnity) amounted to a breach of contract. ,Do doctor/patient contracts include an implied generic term that required the doctor to act in the best interests of the patient? ,There is no implied term in a doctor/patient contract that requires the doctor to act in the best interests of the patient. Doctor/patient contracts include an implied generic term that requires the doctor to exercise due care and skill.,"As the contract included an implied obligation that required the doctor to act with due care and skill, it was not necessary to implied an obligation that obliges the doctor to act in the best interests of the patient.",1996,GENERIC TERMS: COMMON LAW
VARLEY V WHIPP,V and W entered into a contract under which V promised to supply a “a nearly new reaping machine”. The machine was very old and had obviously been broken and repaired. ,"Did the contract include an implied condition that the goods will correspond with the description?. If so, was the term breached?",The contract contained an implied condition that the goods will correspond with the description. The implied term was breached,,1900,EXAMPLE OF BREACH OF TERM IMPLIED
AUSTRALIAN KNITTING MILLS V GRANT,"G purchased underwear manufactured by AKM. After wearing the underwear, G developed acute dermatitis . G sued AKM for negligence . G also sued the retailer that sold him the underwear (our focus). ",Was the underwear of ‘merchantable quality’?,"Even if familiar with the fault, most people would buy the underwear for about the same price as G paid. ","This is because most people who wore the underwear would not develop acute dermatitis, Thus, the underwear was of ‘merchantable quality’.",1933,MERCHANTABLE QUALITY
DAVID JONES V WILLIS,"W purchased shoes from DJ. W told the sales assistant she wanted ‘comfortable walking shoes’. The third time W wore the shoes, the heel came off.  W fell and was seriously injured. W sued DJ, arguing that the shoes were not of ‘merchantable quality’.",Were the shoes of ‘merchantable quality’?,The shoes were not of ‘merchantable quality’.,"Shoes that broke so quickly were of no use for the purpose for which such goods are usually used (walking). Thus, the shoes were not of ‘merchantable quality’",,MERCHANTABLE QUALITY
EXPO ALUMINIUM V WR PATEMAN,EA asked WP to supply aluminium windows. EA planned on installing the windows at a client’s house. EA told WP ‘there is nothing between this house and the north pole’ (an informal way of saying that the house would be exposed to strong winds and rain). The windows WP supplied leaked. EA argued that the contract contained an implied that the goods would be suitable for purpose and that this term had been breached. ,Had EA sufficiently indicated the purpose for which the windows were required?,the contract included an implied term that required the windows to be fit for purpose. The implied term was breached.,The implied term required that the windows be weatherproof to withstand strong winds and driving rain. The windows were not weatherproof nor able to withstand strong winds and driving rain.,1990,SECTION 19(A) GOODS ACT 1958 (VIC)
PROVISO BALDRY V MARSHALL,"M purchased a Bugatti car from B, a car dealer. M explained that he wanted a car that was fast, easily managed, comfortable and suitable for touring. The car delivered proved defective and M argued that the car was not fit for purpose. B argued that the contract did not include an implied term that required that the car be fit for purpose (based on a proviso of the kind contained in s 19(a))",Did the proviso apply? Was no term implied because the car had been bought under its trade name (“Bugatti”)?,The contract included an implied term that the car be fit for purpose. That term had been breached,The mere fact that goods are described by trade name does not necessarily exclude the implied term. If the purchaser relies on statements by the seller then the term will be implied,1926,SECTION 19(A) GOODS ACT 1958 (VIC)
BP REFINERY V HASTINGS SHIRE COUNCIL,HSC entered into an agreement with BP Refinery granting the company the right to pay lower municipal rates. BP underwent a restructure and the refinery site was transferred from BP Refinery to a subsidiary (BP Australia). HSC charged BP Australia the full municipal rates on the site. HSC argued it was an implied term of the agreement that it should come to an end should BP Refinery cease to occupy the site,Was it an implied (ad hoc) term of the contract that the lower rates would only be payable if BP Refinery itself occupied the refinery site?,The contract did not contain such an implied term,"The implied term must be: reasonable and equitable (not met); and, necessary to give business efficacy (not met); and so obvious it goes without saying (officious bystander test) (not met); and capable of clear expression (not considered); and consistent with the express terms (not considered)",1977,TERMS IMPLIED AD HOC
MOORHEAD V BRENNAN,"M licensed her work to B. The terms of the licence gave B the exclusive right to sub-license the work. B wrote an introduction to the book, which M agreed to include in the Australian edition of the book. M wanted B to grant a sub-licence to ‘The Women’s Press’ (TWP) an overseas publisher. TWP had a policy of only publishing writing by women and asked that the introduction written by B (a male) be dropped. B refused to remove the introduction. M alleged that B’s refusal breached an implied term that B would not obstruct opportunities for M to receive royalties",Did the contract include an implied term that prevented B from obstructing opportunities for M to receive royalties?,The term was an implied term of the contract. B breached the implied term,All of the BP Refinery requirements were met. The only way M could benefit from commercial opportunities overseas was for B to grant a licence (B had an exclusive licence over the copyright in the book),1991,TERMS IMPLIED AD HOC
CODELFA CONSTRUCTIONS V STATE RAIL AUTHORITY,"CC agreed to build two tunnels for the SRA. When contracting, the parties believed that it would be possible for the work to continue ‘around the clock’ (24 hours a day, 7 days a week). Work costings and timings were determined on this basis. A provision of the contract allowed for an extension of time but did not mention increased payment. An injunction was granted which prevented work from 10:00pm-6:00am Mon-Sat and all day Sunday. CC argued that the contract contained an implied term entitling it to additional payment",Did the contract contain an implied term that obliged SRA to make additional payment?. Was the granting of the injunction a frustrating event?,The contract did not include such an implied term. The contract was frustrated by the grant of the injunction,"SRA looked to CC to shoulder the commercial risks. It was not obvious that SRA would have agreed to additional payment. Both parties believed that continuous, 24/7 work would be possible. For this reason, they did not attempt to allocate the risk of an injunction being granted (ie, there was no contractual allocation of risk). The circumstances were fundamentally different as a result of the granting of the injunction – it would require a fundamental change to work methods",1982,TERMS IMPLIED AD HOC. FRUSTRATING EVENT
HOENIG V ISAACS,"H was contracted to paint I’s apartment and supply some furniture for £750. I complained that the work had been badly done and that it had cost £55 to pay another workman to rectify the defects. I paid only £400 to H because I believed the work to be defective. H sued for the balance of the agreed price, which he was only entitled to if he had substantially performed the contract",Had H substantially performed the contract?,"Although H had not performed perfectly, the faults were easily fixed. Thus, H substantially performed the contract. Whilst there had been substantial performance, and H was thus entitled to the contract price, I was entitled to deduct the £55 he had paid to have the defects remedied",,1952,SUBSTANTIAL PERFORMANCE
CONNOR V STAINTON,"S agreed to erect a fence for C – the fence was to be three miles long with posts 12 feet apart. Many of the posts were more than 12 feet apart (and in some cases up to 18 feet apart). When S claimed payment, C refused on the basis that S had provided less than substantial performance",Had S substantially performed the contract?,S had not substantially performed the contract,"t is not sufficient to do something materially different, even if what is done is just as good as what is promised. Anything more than a trivial shortcoming will involve less than substantial performance",1924,LESS THAN SUBSTANTIAL PERFORMANCE
STEELE V TARDIANI,T was employed to cut firewood. The contract provided for payment of six shillings per ton of wood cut into six foot lengths and split six inches in diameter. T cut the firewood but split it into pieces ranging from six to 15 inches in diameter,Had T substantially performed the contract?,The contract was not substantially completed,T’s performance departed from that required by the contract in a significant way,1946,SUBSTANTIAL PERFORMANCE OF A CONDITION
HOCHSTER V DE LA TOUR,"D engaged H as a courier. Three weeks before that H was to commence working for D, D informed H that his services were no longer required. H sued D for breach of contract a week before the contract was due to commence ","As the time had not yet arrived for performance, had D breached the contract at the time H commenced his action?","By informing H that his services were no longer required three weeks before the contract was due to commence, D engaged in an anticipatory breach. H was entitled to sue for breach even though at the time the action was commenced, there had not been an actual breach (only an anticipatory breach)",,1853,ANTICIPATORY BREACH
PHILLIPS V ELLINSON BROS,"P was employed as a manager by EB for two years. P was contracted to work full-time (160 hours a month) but P reduced his work to 60 hours per month (the employment contract was not varied, but P was paid only for 60 hours). The employment contract provided that at the end of the two year period, P was entitled to a percentage of profits made by the company during that two-year period. At the end of the two-year period, P claimed the profit payment. EB argued that P was not entitled the payment as he had not performed the terms of the contract (ie worked 160 hours per month)",Was P entitled to claim payment?. Was there a single (indivisible) contract or two or more divisible contracts?,P was not entitled to claim payment – he had not fully performed his contractual obligations,"The contract was a single, indivisible contract. P had breached the indivisible contract and thus was not entitled to enforce the profit share provision",1941,DIVISIBLE CONTRACTS
GOVERNMENT OF NEWFOUNDLAND V THE NEWFOUNDLAND RAILWAY CO,"GoN contracted with NRC for NRC to construct a railway. GoN agreed to grant NRC 25,000 acres of land for each five-mile section constructed. The project came to an end after only seven sections had been built","Was NRC entitled to 25,000 acres of land for each of the 7 sections completed even though the complete railway would no longer be built?",The company was entitled to the grants as payment for the seven sections completed,"The contract was divisible: The parties had in fact reached a series of agreements, each relating to the completion of one section. The grants of land were dependent only on the completion of each section.",1888,DIVISIBLE CONTRACTS
MARITIME NATIONAL FISH LTD V OCEAN TRAWLERS,"MNF chartered a trawler from OT, which MNF intended to use for fishing. MNF was allocated three fishing licences but it had hoped to operate five boats. As it was only allocated three fishing licences, MNF no longer needed the trawler it chartered from OT  . MNF argued that it was not bound to perform the charter contract on the basis that the contract had been frustrated",Did the fact that MNF was not allocated enough licences frustrate the contract?,The contract had not been frustrated,MNF decided how to allocate the three licences it received.  The situation it found itself in was the result of its own decision•MNF could not rely on a situation it had brought about to claim frustration,1953,FAULT DISQUALIFIES
RADFORD V DE FROBERVILLE,"R owned two blocks of land. He sold one to F on the condition that she build an expensive brick wall on the boundary. F failed to build the wall. R sued for breach of contract, claiming the full costs of building the wall. F argued that damages should be limited to the reduction in the value of R’s property caused by the absence of a wall",What was the appropriate measure of damages?,R could recover damages measured by reference to the cost of building the wall,"Contractual damages aim to put the non-breaching party in the position they would have been in had the breach not occurred. Had the breach not occurred, the wall would have been built on the property. R was entitled to damages equal to the cost of building the wall",1978,DAMAGES AIM TO PUT THE PLAINTIFF IN THE POSITION SHE WOULD HAVE BEEN IN IF THE CONTRACT HAD BEEN PROPERLY PERFORMED
TABCORP HOLDINGS V BOWEN INVESTMENTS,"B leased a building to T for ten years. It was a term of the lease that T would not make substantial alterations to the building without B’s consent. T, in breach of this term, demolished and then rebuilt the building foyer","Was B entitled to recover the full cost of restoring the foyer to its previous state? . Or, was B only entitled to damages if the building was worth less as a result of the T’s changes?",B was entitled to recover the full costs of restoring the foyer to its previous state,The aim is to put the non-breaching party in the position she would have been in had there been no breach – this does not simply mean financial position but rather the same actual position. Damages should thus cover the cost of restoring the foyer,2009,DAMAGES AIM TO PUT THE PLAINTIFF IN THE SAME POSITION AS IF THE CONTRACT HAD BEEN PROPERLY PERFORMED
KOUFOS V CZARNIKOW LTD,"C chartered K’s ship to carry cargo. The ship ran late and, when it arrived, the market price of the cargo was lower than the market price on the day that the cargo should have arrived. C sued for compensation for loss it suffered because it received a lower price",Was C entitled to damages to compensate for the loss flowing from the lower price?,Damages were payable to compensate for the losses caused by the drop in market price,"A direct loss is a loss that naturally arises from the breach according to the usual course of things. Given the fluctuation in market prices, the loss is a natural consequence of the breach. The loss was a direct loss and thus recoverable",1967,DIRECT LOSS
HADLEY V BAXENDALE,H engaged B to deliver a broken mill shaft to the mill manufacturer (so that the manufacturer could make a replacement). B said he would make the delivery the following day but in fact took several days. During the periods of delay H’s mill stood idle,Was H entitled to compensation for lost profits?,H was not entitled to compensation for lost profits,"The loss was not a direct loss: It does not flow naturally from the breach.  Ordinarily one would expect that a mill operator would have, or could acquire, a spare mill shaft. The loss was not a consequential loss: Damages for consequential loss can only be claimed if the losses may reasonably be supposed to have been in the contemplation of both parties (at the time the contract was made) as a probable result of such a breach, It was not within the common contemplation of the parties that the mill would stand idle while the broken shaft was being delivered to the mill manufacturer – H had in no way indicated to B that this would be the case",1854,CONSEQUENTIAL LOSS
MCRAE V COMMONWEALTH DISPOSALS COMMISSION,CDC invited tenders for the purchase of an oil tanker said to be lying on the Jourmaund Reef. M won the tender and was given the precise latitude and longitude of the tanker. M embarked on a salvage operation. There was no oil tanker lying anywhere near that location. The court concluded that CDC had made a contractual promise that the tanker was at that location and that this promise had been breached,Could McRae recover damages to compensate for wasted expenditure on the salvage operation?,McRae was entitled to recover the costs of the wasted salvage operation,"The parties must have contemplated, when contracting, that such expenses would be incurred",1951,WASTED EXPENSES
BALTIC SHIPPING V DILLON,"Mrs D was a passenger on a cruise ship who sought damages for losses caused by the cruise ship sinking on the tenth day of a fourteen day cruise. The cruise ship sank as a result of the B’s negligence. B admitted liability for breach of contract, but disputed D’s claim for damages based on distress and disappointment said to be caused by the breach.",Was D entitled to damages for distress and disappointment?,D could recover damages for loss in the form of distress or disappointment caused by the breach,"The general rule is that a plaintiff cannot claim contractual damages for disappointment, distress or injured feelings. However damages of this kind were payable in this instance as D had contracted for a trip meant to provide pleasure, relaxation and entertainment",1993,DAMAGES: STRESS AND DISAPPOINTMENT
BURNS V MAN AUTOMOTIVE (AUST) PTY LTD,MAN supplied a defective commercial vehicle to B (which amounted to a breach of contract). The defects could have been remedied if B had the vehicle’s engine repaired or replaced. B sued MAN to recover profits lost over a four year period (the expected operating life of the vehicle),Had B taken reasonable steps to mitigate his loss?,B had taken adequate steps to mitigate the loss,"The faulty engine could have been repaired or replaced. However, B could not afford to do so. Given B’s financial position, B had not acted unreasonably in not getting the engine repaired. B had not failed to mitigate his loss",1986,DUTY TO MITIGATE
ASSOCIATED NEWSPAPERS V BANCKS,,Was the promise to publish on the front page of the comic section a condition?,The promise to publish on the front page of the comic section was a condition,"(applying the Tramways test) the promise was an essential term (that is, a condition). Publicity associated with prominent placement is very important for artists such as B – thus, he would not have entered into the contract unless the “front page promise” had been made",1951,CLASSIFYING TERMS
